bname,pname,original_mrp,sale_mrp,imgs
vastranand,Silk Blend Woven Pattern Traditional Banarasi Saree,6500,2275,
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a51a/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a508/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a503/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
saree-mall,Indian Print Lace Border Saree,3599,1044,
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a51a/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a508/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a503/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
mimosa,Floral Pattern Traditional Saree,3999,1760,
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a51a/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a508/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a503/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
triveni,Embellished Saree,5909,1773,
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a51a/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a508/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a503/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
saree-mall,Festive Linen Printed Saree With Unstitched Blouse,2799,896,
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a51a/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a508/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a503/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
vastranand,Floral Print Georgette Saree with Lace Border,4599,1610,
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a51a/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a508/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a503/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
mimosa,Saree with Woven Pattern,5799,1740,
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a51a/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
,,,,https://assets.ajio.com/medias/sys_master/root/20210627/JKjK/60d9770bf997ddb31204a508/vastranand_navy_blue_silk_blend_woven_pattern_traditional_banarasi_saree.jpg
